# 1.16.2 RVA	1.17 RVA	constant	votes
# Generated by scripts/map-data-rvas-1162-to-1170.py --refresh.
# GENERATED WHOLESALE -- DO NOT HAND-EDIT A ROW INTO THIS FILE. --refresh rewrites every
# line below from the two images. A row it cannot reproduce now STOPS the write and is
# named, instead of being deleted at exit 0 with nothing to read afterwards but an address
# that looks like it was never mapped. A row it does not WANT is only dropped when
# scripts/rva_symbols.py can PROVE nothing in crates/ declares the address; otherwise it is
# carried forward under the PRESERVED banner at the foot of the file. Hand knowledge
# belongs in SHAPE_RESCUED /
# REFSITE_RESCUED inside that script, where the corroboration is re-derived from both
# images on every refresh; a hand-derived pair for a FUNCTION belongs in
# rva-map-1162-to-1170.verified.tsv, the curated ledger.
# Data has no content to compare, so each row is carried by the CODE that references it:
# every rip-relative reference in 1.16.2 .text is mapped onto its 1.17 function and the
# same instruction re-read there. `votes` is agreeing references / total. A row with
# fewer than two agreeing references, or without a clear majority, is listed at the
# bottom as UNUSED rather than promoted -- a missing address costs a feature, a confident
# wrong one cost a boot (0x3d6e278, the first 2.7.0.0 cs_system_step).
# A `rtti` suffix means a VTABLE carried itself: the same mangled class name sits at the
# source in 1.16.2 and the destination in 1.17 and at neither crossed position. A name
# that occurs once per image beats any number of agreeing displacements.
# A `shape` suffix means the address is bracketed by anchors that all moved by the same
# delta AND its one referencing instruction shape reaches the candidate exactly as often
# in 1.17 as it reached the source in 1.16.2 -- the fallback for a global referenced only
# from trampoline rubble, where there is no mappable function to vote with.
# A `unique`, `fnptr` or `bracket` suffix means one unopposed reference was promoted by a
# SECOND line of evidence that does not come from that reference: a string occurring exactly
# once per image, a table of code pointers that carry through the function map, or the
# nearest independently-carried anchor on each side having moved by the same delta. All
# three are recomputed from the two images on every refresh -- see REFSITE_RESCUED.
# A `<file>:<line>` in the constant column is an address written as a BARE HEX LITERAL at
# its use site, with no constant name anywhere -- admitted because the workspace hands it
# to the address resolver, never because of how it is spelled or how large it is. Before
# 2026-08-31 the harvest read only `const *RVA*: usize = 0x..`, so four such addresses were
# in neither the body nor the UNUSED list: not verified and not reported unverified, which
# reads afterwards exactly like an address nobody had gotten to yet.
0x29c8e48	0x29cbe48	FD4_TIME_TEMPLATE_FLOAT_VFTABLE_RVA	576/576
0x29c8e48	0x29cbe48	FD4_TIME_FLOAT_VTABLE_RVA	576/576
0x29c8e58	0x29cbe58	FD4_TIME_VTABLE_RVA	631/632
0x2a7e030	0x2a810a0	RESMGR_EXPECTED_VTABLE_RVA	2/2
0x2a8f9e8	0x2a92a68	TITLE_STATE_DESC_LOOP_RVA	15/15
0x2a90500	0x2a93580	TITLE_STATE_DESC_FADEIN_RVA	33/33
0x2a93a60	0x2a96ae0	MENU_WINDOW_VTABLE_RVA	2/2
0x2a94318	0x2a97398	MENU_WINDOW_PROXY_VTABLE_RVA	2/2
0x2a94a70	0x2a97af0	SCENE_OBJ_PROXY_VTABLE_RVA	14/14
0x2aa2958	0x2aa59d8	MENUJOB_IFELSE_VTABLE_DUMP_VA	1/1 rtti
0x2aa97e8	0x2aac868	ITEM_VTABLE_RVA	6/6
0x2aa97e8	0x2aac868	MENU_WINDOW_JOB_VTABLE_RVA	6/6
0x2aaabf8	0x2aadc78	SAVE_RETRY_DIALOG_VTABLE_RVA	1/1 rtti
0x2ac3ea8	0x2ac6f28	FUNCTOR_VTABLE_RVA	1/1 rtti
0x2ac3ea8	0x2ac6f28	MENU_ITEM_LOADGAME_FUNCTOR_VTABLE_RVA	1/1 rtti
0x2ac71e0	0x2aca260	MENUJOB_LOAD_CONTEXT_VTABLE_RVA	2/2
0x2ac72a0	0x2aca320	TRACE_MENU_TASK_UPDATE_TABLE_RVA	0/0 fnptr+bracket
0x2ac7f20	0x2acafa0	TITLE_FLOW_CONTEXT_VTABLE_RVA	2/2
0x2ad5400	0x2ad8480	PROFILE_SELECT_DERIVED_LIST_VTABLE_RVA	10/10
0x2ad82f8	0x2adb378	LAYER_ID_TABLE_RVA	9/9
0x2aebba0	0x2aeec20	DEPOSITORY_DIALOG_VFTABLE_RVA	1/1 rtti
0x2afa070	0x2afd0f0	ROUTER_THIS_VTABLE_RVA	2/2
0x2b03550	0x2b065d0	MSGBOX_DIALOG_VTABLE_RVA	2/2
