# Every capstone decode in scripts/ whose byte range is measured FROM THE DECODE START.
#
# `scripts/check-decode-extent-bounds.py` finds them by AST and requires each one to appear here.
# The gate goes RED on a site with no row AND on a row matching no site, so this file is an
# inventory rather than a mute button: it cannot go quiet by drifting out of date.
#
# WHY EVERY ROW HERE IS A CLAIM WORTH CHECKING. A byte budget from a function entry is the shape
# of all five instances of the decode-past-the-end class (see the gate's docstring). The fifth,
# found on 2026-08-31, had been TUNED: `check-singleton-field-offsets.py` picked its window size
# to keep a `CS::GameMan +0x0` "vftable slot" that turns out to decode as
# `sar dword ptr [rax], 0x6f` in bytes past a `ret`. So "it has been like that for a while and
# the numbers look right" is not a reason. The reason has to say what actually stops the decode.
#
# columns: path <TAB> function <TAB> span <TAB> status <TAB> reason
#
# status vocabulary:
#   cap-on-extent      the real stop is an extent or a terminator rule; the count only bounds a
#                      runaway, and reaching it is reported rather than papered over
#   extent-elsewhere   the span IS an extent, just carried in from another source (Ghidra, .pdata)
#   single-instruction the decode consumes one instruction; 15 bytes is the x86-64 maximum
#   operator-supplied  the window is named by the person running the tool, per invocation
#   dumper             prints for a human and decides no verdict
#   kept-fixture       a deliberately WRONG decode, preserved and asserted against
#   foreign-binary     ersc.dll, an ordinary MSVC DLL with real .pdata and real int3 padding --
#                      not one of the de-Arxan'd ELDEN RING images this class lives in
#   OPEN               a genuine byte budget that can leave the function. NOT fixed. The gate
#                      prints these every run with their reason.
#
scripts/adjudicate-topo-vs-functions-tsv.py	norm_body	rva : rva + size	extent-elsewhere	`size` is the body length Ghidra declares for the function, read out of the functions TSV -- an extent from a second authority rather than a budget. The function also returns None when `consumed < size - 15`, so a decode that fell apart is reported as no-evidence instead of as a body.
scripts/audit-1170-hook-targets.py	_unbounded_walk	off : off + 32	kept-fixture	The pre-2026-08-30 trampoline walk, kept ON PURPOSE. `selftest` asserts that every refusal in PATCH_SAFE_CASES is one this thing gets WRONG, which is how "the bound matters" is measured every run instead of asserted in a comment. Fixing it would delete the mutation test.
scripts/audit-1170-hook-targets.py	_unbounded_branch_scan	off : off + BRANCH_SCAN_BYTES	kept-fixture	Instance 1 itself, preserved as the discriminator for BRANCH_SCAN_CASES. Reverting `patch_safe` to this shape must make the selftest fail; that is the point of keeping it.
scripts/build-1162-1170-function-map.py	signature	start : start + length	cap-on-extent	`length = min(end - start, SIGNATURE_BYTES)` and `end` is the `.pdata` extent of the function being signed, so the extent wins whenever it is the smaller of the two. The input set is `.pdata`-declared functions only.
scripts/check-singleton-field-offsets.py	_follow	pos : pos + 64	cap-on-extent	The loop breaks on `insn.address + insn.size > function_extent.body_end(...)`, added 2026-08-31 as the fix for instance 5; 64 is slack for FOLLOW_INSNS instructions and is reached only when the extent is unknown (2 sites, measured). The bound is inside the loop rather than on the slice because the walk also stops on a register clobber and on a branch.
scripts/clear-fields-by-object.py	control	a_rva : a_rva + length	operator-supplied	`length` is `drift.KNOWN["length"]` -- the hand-derived 24-byte body of `GetScadutreeBlessing`, this tool's pinned positive control. The production paths in the same file take `drift.extent_of(...)`, which is the shared rule.
scripts/clear-fields-by-object.py	control	b_rva : b_rva + length	operator-supplied	The 1.17 half of the same pinned control pair.
scripts/disas-annotate-strings.py	main	off : off + nbytes	dumper	`--bytes N`, typed by the operator, printed to a terminal; the loop additionally breaks at the first `ret`. It decides nothing.
scripts/er-tae-dispatch-decode.py	follow	offset : offset + 256	cap-on-extent	Three terminator rules stop this walk before the slice can: the first `jmp` (the tail jump it is looking for), the first `ret`, and `insn.address - va > MAX_TRAMPOLINE_INSNS * 8` = 192 bytes. 256 is slack above that last bound so a long instruction cannot be truncated mid-decode. Reaching the end is REPORTED rather than guessed at: the function returns kind `undecoded`, and every caller keeps the kind, so a trampoline that did not resolve is visible in the output instead of being reported as a handler address.
scripts/ersc_dis_refute.py	dis	o : o + n	foreign-binary	A `n`-byte hexdump-with-mnemonics of ersc.dll for a human, and it PRINTS where the decode stopped short. ersc.dll is not de-Arxan'd: it has real `.pdata` and real int3 padding, so the resynchronisation this class is about does not arise.
scripts/ersc_static.py	build_xrefs	ra : ra + min(rs, vs + 256)	foreign-binary	The span is a whole `.text` SECTION (raw pointer to raw/virtual size), not a function -- a deliberate linear sweep of ersc.dll to build an xref index, with `skipdata` on so an undecodable byte does not desynchronise the rest.
scripts/map-data-rvas-1162-to-1170.py	displacement_of	func : func + limit	cap-on-extent	Two arms, two different stops, and only one of them ever needed the width. The `at_offset` arm consumes an instruction that STARTS exactly at a known byte offset, so no window size can invent one -- that is why `limit` opens to reach a reference at +0x779. The `n == index` fallback had no such protection and WAS a real over-read (fixed 2026-08-31): it is now gated on `function_extent.body_slice_end`, and refuses rather than answering when the extent is unknown. `limit` bounds a runaway only.
scripts/map-rvas-1162-to-1170.py	build_masked_pattern	offset : offset + want_bytes * 3	cap-on-extent	`* 3` is slack so that whole instructions can cover `want_bytes`; the loop stops at `consumed >= want_bytes` and, in the default `stop_at_return` mode used by `map_one`, at the first `ret`/`jmp` -- which is what keeps a short function's signature out of its neighbour. The `stop_at_return=False` mode is for a prologue GATE, where the byte count is the specification the runtime check will compare, not an inference about where the function ends.
scripts/pair-object-field-drift.py	decode	rva : rva + length	operator-supplied	Both lengths come from the CLI's `0x<addr>:<length>` pair spec, for a function the operator has already bounded. The pinned `SELFTEST_PAIR` carries a measured 24.
scripts/resolve-data-addr-by-shape-uniqueness.py	_decode_one	at : at + 20	single-instruction	Returns on the FIRST decoded instruction. 20 is slack over the 15-byte x86-64 maximum, so the extra bytes are never decoded into a second instruction.
scripts/verify-hook-address.py	main	off : off + args.count * 8	cap-on-extent	Slack for `--count` instructions, and the comparison is truncated to `min(len(dump), len(deobf))`. Both sides read the SAME byte range -- the Ghidra request is `length: count * 8` too -- so a shared over-read cannot manufacture a disagreement between them, which is the only thing this tool reports.
scripts/verify-rva-map-1170.py	leaf_extent	rva : rva + limit	cap-on-extent	This IS the extent resolver -- the watermark sweep the whole repo defers to. It returns None when it reaches `limit` without a terminator, so the cap produces a refusal rather than a fabricated end.
scripts/verify-rva-map-1170.py	decode_status	offset : offset + window	cap-on-extent	`window` is the declared `.pdata` extent whenever both images declare one, and `DECODE_BYTES` only when neither does. Hitting the count leaves the reason at STOP_LIMIT, and `compare` refuses to call a prefix identical -- so the cap costs a verdict rather than inventing one.
scripts/verify-thunk-rva-1170.py	body	rva : rva + MAX_BYTES	cap-on-extent	The real bound is REACHABILITY: the first `ret`, or the first unconditional `jmp` that nothing decoded so far branches past. `MAX_BYTES` only stops a runaway, and reaching it returns `(None, None)`, which the caller reports as the NO-END verdict.
#
# --- objdump spans (matched by text, not by AST: the range is built for a subprocess) ---------
scripts/check-dump-deobf-identity.py	<objdump>	objdump --start-address/--stop-address	cap-on-extent	`stop = va + count * 16` is slack for `--count` instructions, and the comparison is truncated to `min(len(dump), len(deobf))`. The Ghidra side is asked for `length: count * 8` over the same VA, so BOTH sides read past the function end together and a shared over-read cannot manufacture the disagreement this tool reports.
scripts/disas-deobf.sh	<objdump>	objdump --start-address/--stop-address	dumper	`disas-deobf.sh <VA> [nbytes]`: the operator types the length and reads the output in a terminal. It decides nothing and writes nothing.
scripts/disas-va.sh	<objdump>	objdump --start-address/--stop-address	dumper	Same shape, Intel syntax, default 256 bytes, printed for a human.
scripts/dump-data-va.sh	<objdump>	objdump --start-address/--stop-address	dumper	`objdump -s` -- a HEX DUMP of `.rdata`/`.data`, not a disassembly at all. There is no instruction stream to fall out of phase.
scripts/ghidra/compare-existing-facts-local-disasm.py	<objdump>	objdump --start-address/--stop-address	single-instruction	`objdump_first_instruction` takes the first line of output for one address and discards the rest; the window exists only to give objdump something to decode.
scripts/scan-disp.sh	<objdump>	objdump --start-address/--stop-address	dumper	A grep over an operator-bounded disassembly window, printed for a human.
